real_id,nb_assigned_ids,nb_original_fp,ratio,max_chain
1d39f953-a08e-494e-acf6-e594832b010a,6,14,2.333333,5
e99b3521-4e62-4230-b899-85c9dbed1921,2,2,1.000000,1
2c383b80-2256-4ece-81d4-c81290a10a14,8,10,1.250000,2
c33e02f8-4665-4d6c-8781-4a5c991889da,3,8,2.666667,6
d7969eaf-cd67-4ac5-b060-393d864f8525,6,12,2.000000,4
9a750eec-46c2-4720-b481-a0d6f03af47b,5,9,1.800000,5
1a2a7fa6-a936-4e87-a513-50ea19f0483e,3,9,3.000000,7
2657b615-04b0-4c11-8343-1245c9c07676,5,13,2.600000,4
3284e414-8b55-431b-996f-5e5cf9e96ed9,4,10,2.500000,4
2bef0281-b2d9-41ac-967c-45835e5ba8c0,10,14,1.400000,3
7ce6f4e7-3343-4519-8d80-7b97f0fa9e57,1,1,1.000000,1
ad30762b-ff39-441d-a0f7-d388fcb65c5d,4,5,1.250000,2
5ac34c91-a3b4-4a11-a940-a4babf02057f,9,12,1.333333,3
6703acf0-f2c1-4b80-a158-fbbe091d3948,8,9,1.125000,2
a3f79161-ce4f-4ec0-9c53-67b5d89375d4,1,1,1.000000,1
bb86048e-c4fd-4bc1-8fda-a4fb5b391a14,5,14,2.800000,4
1729815c-0eca-4350-ab5c-5ce2c530fcd4,5,11,2.200000,4
595525a1-8ff1-493d-bdef-74ecb74d182b,5,6,1.200000,2
8e7f3b7f-2631-4b94-a2ae-31e8f02f07cd,1,1,1.000000,1
f4f25187-82c7-4265-9bf9-71bc8ed1701f,9,12,1.333333,2
be62454c-9208-4099-9ed2-02aa2de09509,1,1,1.000000,1
b31c10f0-ddb3-4d3f-b6b1-6ac865523ec8,4,6,1.500000,2
30f64336-9100-4dbf-b67b-4a2096a38da9,9,11,1.222222,3
5e3d6bde-1451-4103-89a6-c67d81f63ed6,3,12,4.000000,10
8e72a8bd-ae9b-460b-9573-aba4b21efb12,11,13,1.181818,2
17b99863-8bfd-492d-8451-374fd7cde36c,5,11,2.200000,5
628a06f1-ca1e-4e6e-9b38-5e23da554b53,6,13,2.166667,5
15f3a523-0299-4249-8ccc-fee0b320040f,4,13,3.250000,5
8a0fe7de-deff-4ffa-acbf-192cb2d37b39,2,2,1.000000,1
f61809d2-a428-4a2c-81e4-461ea9908687,2,13,6.500000,9
68942969-0475-4a26-931b-d1d8043a659c,8,11,1.375000,3
1bc74fba-d84b-4bcc-9386-cb329e96d9e3,6,10,1.666667,3
c17f5405-360e-43d7-9b50-bccf6faf2207,11,14,1.272727,2
29cc433b-5fc2-46f5-9183-c76d4be7a356,1,1,1.000000,1
3080614b-46eb-4c0d-b1ff-b9dc13bbc44b,1,1,1.000000,1
d4be492d-c9ee-46a0-b1ab-076386b61b85,5,9,1.800000,5
