real_id,nb_assigned_ids,nb_original_fp,ratio,max_chain
907af844-581a-4044-8ddb-8bcc91df32f9,14,37,2.642857,6
a1e159d8-57d0-47b8-9d45-24df63d3595a,5,15,3.000000,8
039c70da-6930-47d6-bdfd-f1d429ade760,7,28,4.000000,9
f812d842-42ac-4a21-8073-f483c059ca2d,7,33,4.714286,12
34f99a24-a6bb-4995-b47c-e02f1c26a820,3,12,4.000000,9
a1a87013-2cc1-4ab5-a85b-9fd21ffffe4b,9,35,3.888889,11
b598bd23-8da8-4ecf-8ed7-f22321137698,4,20,5.000000,17
78d36156-f985-41f2-b808-8ffa7a87f4b9,6,28,4.666667,11
2f38656b-76d5-4b46-a81d-c90b96495673,12,38,3.166667,9
48a3cfba-dcdc-4833-886c-5cc284e12343,7,37,5.285714,17
618b27ad-6280-4709-8245-2f34c8e13f53,6,31,5.166667,13
028b8603-30a8-498d-97ee-f8a764ed1d88,3,3,1.000000,1
15d97e16-a8bd-47fc-90d0-a7b1505efd0b,5,18,3.600000,8
6691497e-e3b6-4698-a5e3-35f282f0eb8d,9,22,2.444444,7
faede4bf-624b-414f-8bff-7f3bbfc74f7b,9,34,3.777778,7
f6f0f4cc-1446-4e9b-8217-0e87c459d01d,12,18,1.500000,4
5d6b65a6-6a87-4085-900c-575ab429c359,13,33,2.538462,4
06b6d1b3-dda3-4743-96f5-a45079ab6996,2,3,1.500000,2
8d7e30ed-2eb2-48c9-ad99-3d0e8cf03e99,8,27,3.375000,7
c7b87666-56b8-4851-ad87-0ba40803d992,5,22,4.400000,8
a4b7e876-b24c-4888-85f9-62bcb8a9d776,7,17,2.428571,9
475f6ef0-4e4c-4fdc-b24f-529a349d521e,6,28,4.666667,10
a570d9cd-f8c7-4a04-acd2-701cc226b960,3,23,7.666667,14
b319c8c3-de7b-45c2-ba51-91927dd27b3b,2,18,9.000000,17
2f843830-e489-45c6-a140-48ef168f7d3e,13,29,2.230769,7
941cbc5b-b82c-4e79-98d7-87808e8819b9,7,31,4.428571,9
fff9db58-c20e-4f2c-b07d-9937b70a1273,3,31,10.333333,25
b00c8ba4-8b50-4d81-a08e-fee649ef9423,3,17,5.666667,10
2847c646-a1c3-45b5-815f-46681e3db9c1,12,32,2.666667,7
f258256f-54bc-46fc-baca-9df34d5ff3ac,7,35,5.000000,9
ee629236-d81f-4548-822a-11f979d7f013,11,33,3.000000,8
9a750eec-46c2-4720-b481-a0d6f03af47b,3,19,6.333333,15
c15796a9-88e4-406f-bd36-788d0e579acd,7,25,3.571429,10
17b06456-e7d7-47f8-adb8-f259fb98dcc9,1,1,1.000000,1
299be603-a667-4e4b-9287-3e88c441d26c,9,27,3.000000,6
87e53473-180b-4180-830f-6999f612c755,3,15,5.000000,7
59751180-e355-4bfc-b5a2-5c571dfc6efa,6,24,4.000000,8
5b42ea58-d3a6-491a-98ea-d6cb61b21abe,5,15,3.000000,5
9c862f56-7315-43ed-9922-be53b612c26b,3,30,10.000000,23
b2adc949-f710-48f8-8159-5533f440730d,9,30,3.333333,11
7cc462c2-3438-4530-81e0-ef36b8cce783,5,11,2.200000,5
a93f061d-7038-4993-a948-be4b7034b354,3,13,4.333333,7
33ee54b5-0d80-4b24-b785-abcf45ee1e3f,5,25,5.000000,12
bb4fc561-441d-4dc9-b9b0-9248820ad968,6,23,3.833333,6
1637a67a-3e43-4ba3-9c63-dd1b557dcc19,4,9,2.250000,4
6ac4be27-6951-4110-953b-42994ca04dfc,6,19,3.166667,7
644cc752-3d2b-4bc8-8521-9c913e09170f,2,4,2.000000,2
91675abf-4d79-497f-8fa5-224ae0472254,9,26,2.888889,10
ece552c2-b04a-49f3-a01f-244ea2be828f,12,23,1.916667,4
e7dddb75-ce7a-4c4a-a047-cd3c7c12c4f7,9,21,2.333333,6
289638d6-a850-4690-a2cd-3f4189665d44,5,12,2.400000,4
7fd39831-e264-4ed0-a0b6-8d05bbcbb38c,5,14,2.800000,6
1e4d3af4-cc42-44a9-b716-96fcf81a25a5,4,6,1.500000,2
94560f9c-6b13-4732-ac39-78f6d48a8133,7,16,2.285714,5
6ba68ba3-3aee-4198-9e5e-f659b55375bd,7,16,2.285714,6
c49c5729-6dda-416a-91d6-3fec37394388,7,18,2.571429,4
fd026db8-dad8-4f55-8016-d469844b2862,10,22,2.200000,6
8aa0c34c-dda5-43e4-a825-202ddad15708,8,21,2.625000,7
70aa3c86-1745-40da-9072-13ac3ed78efd,6,23,3.833333,7
823d6947-79a9-472f-8242-e07220bcaa02,7,22,3.142857,10
5c2dcee3-4c6f-4ac5-bebf-393949ab845c,6,20,3.333333,10
050de4b3-0882-4235-9554-9a624b8850fb,7,10,1.428571,3
f2d0957c-12af-426d-8d09-fdbbb4e0de0b,2,20,10.000000,11
686a875f-c72b-4803-b21d-8a7401fe132a,10,16,1.600000,4
51e67b1a-ddcd-479b-8d42-f1d1410e814d,6,15,2.500000,5
df2d69ac-fbca-4b9e-8df4-d499bb27b403,6,20,3.333333,9
18812d7d-3e1e-4084-ad30-79ac968a2fa5,4,23,5.750000,13
a714a287-37fd-4f34-ad8a-46580b566abe,6,18,3.000000,5
5a772c33-5555-4594-83d5-0410a67adc71,4,12,3.000000,5
ac7c0dae-6fe3-48e3-97b7-ab62571a0eb1,11,23,2.090909,5
e9599456-8981-4cc4-b128-82ca0012fb64,4,6,1.500000,2
c07ff153-9e23-4312-a895-634db3ee5e20,8,21,2.625000,6
da1a2d7f-932d-4a30-b182-c07ecc3443ac,5,14,2.800000,7
374b89ae-6635-4710-aa3a-b1628e146d8a,3,11,3.666667,8
ec0f4dc7-2248-4e94-bafe-6df366348cb8,2,3,1.500000,2
6a62a318-0245-4aa5-9f3f-a6e200f8724a,8,18,2.250000,6
d8d2f244-6fe8-4084-86a0-7a0763b579ce,4,17,4.250000,9
7a26546e-0a07-423c-9e97-0ef56212920d,3,17,5.666667,12
b5ffd988-ffeb-4513-b78a-5806be0c7dbf,7,11,1.571429,3
7d7d8bee-c73e-4544-a78c-2d4e29f75749,5,11,2.200000,4
e4ab94f4-8c05-4815-afbf-3470cfa23a6a,4,8,2.000000,4
519e56e4-9bbe-493d-9a82-70f9d8dc5c69,5,12,2.400000,4
23adb02f-8cae-4303-bbd5-f125e974560d,5,8,1.600000,4
9c552fa8-fe9f-4618-86af-58441f5987ae,1,12,12.000000,12
a7b146b8-7a3c-4fdc-b0cd-416fa5b618c7,6,9,1.500000,2
c3af36ba-81f4-4652-9523-44f2217dc0f0,2,3,1.500000,2
